"","name","degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","Abundance","module","z","p","taxa_roles","kingdom","phylum","class","order"
"EC:6.3.4.2","EC:6.3.4.2",89,0,0.0114024272100779,0.999775732216407,0.0263889568580449,"M1",0.217093957310383,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Other carbon--nitrogen ligases.","o__EC:6.3.4.2"
"EC:6.3.4.20","EC:6.3.4.20",88,0,0.011329015897801,0.989918092023077,0.0106682531118318,"M1",-0.0333990703554454,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Other carbon--nitrogen ligases.","o__EC:6.3.4.20"
"EC:6.3.4.21","EC:6.3.4.21",88,0,0.0113075941424261,0.991923092626283,0.0247279454514939,"M1",-0.0333990703554454,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Other carbon--nitrogen ligases.","o__EC:6.3.4.21"
"EC:6.3.4.22","EC:6.3.4.22",2,0,0.500018794069075,0,4.62932634744147e-06,"M56",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Other carbon--nitrogen ligases.","o__EC:6.3.4.22"
"EC:6.3.4.23","EC:6.3.4.23",2,0,0.500022242675522,0,8.79553993017883e-06,"M56",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Other carbon--nitrogen ligases.","o__EC:6.3.4.23"
"EC:6.3.4.3","EC:6.3.4.3",88,0,0.0113232331162037,0.990620787154375,0.0122786577458911,"M1",-0.0333990703554454,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Other carbon--nitrogen ligases.","o__EC:6.3.4.3"
"EC:6.3.4.4","EC:6.3.4.4",89,0,0.0114036963197564,0.999603291558851,0.02689502319819,"M1",0.217093957310383,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Other carbon--nitrogen ligases.","o__EC:6.3.4.4"
"EC:6.3.4.5","EC:6.3.4.5",89,0,0.011402813682428,0.9997154715492,0.0264875410494201,"M1",0.217093957310383,0,"Peripheral nodes","k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Other carbon--nitrogen ligases.","o__EC:6.3.4.5"
"EC:6.3.4.6","EC:6.3.4.6",1,0,1.00458337903937,0,0.00156407413334756,"M91",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Other carbon--nitrogen ligases.","o__EC:6.3.4.6"
"EC:6.3.5.1","EC:6.3.5.1",1,0,1.00458337903937,0,0.0124057240520886,"M91",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Carbon--nitrogen ligases with glutamine as amido-N-donor.","o__EC:6.3.5.1"
