sample	qPCR
NRCS297	1.60E+09
NRCS298	9.58E+08
NRCS299	7.00E+08
NRCS3	5.08E+09
NRCS30	6.18E+09
NRCS300	3.17E+09
NRCS301	2.75E+09
NRCS302	2.41E+09
NRCS303	3.15E+09
NRCS304	1.88E+09
NRCS305	1.08E+09
NRCS306	5.16E+08
NRCS307	3.81E+08
NRCS308	3.34E+08
NRCS309	2.47E+08
NRCS31	2.97E+09
NRCS310	2.15E+08
NRCS311	1.18E+09
NRCS312	5.57E+08
NRCS313	6.04E+08
NRCS314	8.80E+08
NRCS315	9.89E+08
NRCS316	1.44E+09
NRCS317	2.04E+09
NRCS318	1.47E+09
NRCS319	1.03E+09
NRCS32	4.03E+09
NRCS320	1.75E+09
NRCS321	1.68E+09
NRCS322	6.02E+08
NRCS323	2.00E+09
NRCS324	3.27E+08
NRCS325	8.01E+08
NRCS326	6.07E+08
NRCS327	1.79E+08
NRCS328	6.28E+08
NRCS329	1.98E+08
NRCS33	5.30E+09
NRCS330	8.14E+08
NRCS331	1.75E+08
NRCS332	7.37E+08
NRCS333	4.98E+08
NRCS334	1.97E+08
NRCS335	5.58E+08
NRCS336	2.19E+08
NRCS337	1.14E+08
NRCS338	2.16E+09
NRCS339	1.55E+09
NRCS34	5.70E+09
NRCS340	1.12E+09
NRCS341	8.84E+08
NRCS342	1.18E+08
NRCS343	1.55E+09
NRCS344	1.98E+09
NRCS345	1.75E+08
NRCS346	2.62E+08
NRCS347	1.04E+09
NRCS348	4.74E+08
NRCS349	6.08E+08
NRCS35	5.16E+09
NRCS350	1.75E+08
NRCS351	1.64E+09
NRCS352	6.39E+08
NRCS353	4.82E+08
NRCS354	1.19E+09
NRCS355	7.68E+08
NRCS356	1.04E+09
NRCS357	2.26E+08
NRCS358	8.87E+08
NRCS359	2.10E+08
NRCS36	4.14E+09
NRCS360	2.45E+08
NRCS361	9.87E+08
NRCS362	2.66E+09
NRCS363	2.68E+09
NRCS364	1.02E+09
NRCS365	1.07E+09
NRCS366	9.93E+08
NRCS367	1.11E+09
NRCS368	7.58E+08
NRCS369	3.77E+08
NRCS37	5.96E+09
NRCS370	1.03E+09
NRCS371	9.89E+08
NRCS372	2.59E+09
NRCS373	2.58E+09
NRCS374	1.81E+09
NRCS375	1.01E+09
NRCS376	1.29E+09
NRCS377	6.52E+08
NRCS378	8.41E+08
NRCS379	1.28E+09
NRCS38	4.39E+09
NRCS380	4.53E+08
NRCS381	4.39E+08
NRCS382	7.31E+08
NRCS383	5.74E+08
NRCS384	9.17E+08
NRCS385	7.01E+08
NRCS386	1.48E+09
NRCS387	4.95E+08
NRCS388	4.72E+08
NRCS389	7.73E+08
NRCS39	5.14E+09
