SampleID	PLFA_ID
#N/A	SHI-0542
#N/A	SHI-0543
#N/A	SHI-0544
#N/A	SHI-0545
#N/A	SHI-0546
#N/A	SHI-0547
#N/A	SHI-0548
#N/A	SHI-0549
#N/A	SHI-0550
#N/A	SHI-0551
#N/A	SHI-0552
#N/A	SHI-0553
#N/A	SHI-0554
#N/A	SHI-0555
#N/A	SHI-0556
#N/A	SHI-0557
#N/A	SHI-0558
#N/A	SHI-0559
#N/A	SHI-0560
#N/A	SHI-0561
#N/A	SHI-0562
#N/A	SHI-0563
#N/A	SHI-0564
#N/A	SHI-0565
#N/A	SHI-0566
#N/A	SHI-0567
#N/A	SHI-0568
#N/A	SHI-0569
#N/A	SHI-0570
#N/A	SHI-0571
#N/A	SHI-0572
#N/A	SHI-0573
#N/A	SHI-0574
#N/A	SHI-0575
#N/A	SHI-0576
2a	SHI-0577
4a	SHI-0578
9a	SHI-0579
10a	SHI-0580
11a	SHI-0581
12a	SHI-0582
13a	SHI-0583
14a	SHI-0584
15a	SHI-0585
16a	SHI-0586
18a	SHI-0587
19a	SHI-0588
20a	SHI-0589
21a	SHI-0590
22a	SHI-0591
23a	SHI-0592
24a	SHI-0593
26a	SHI-0594
27a	SHI-0595
29a	SHI-0596
30a	SHI-0597
31a	SHI-0598
32a	SHI-0599
33a	SHI-0600
34a	SHI-0601
35a	SHI-0602
36a	SHI-0603
37a	SHI-0604
38a	SHI-0605
39a	SHI-0606
41a	SHI-0607
42a	SHI-0608
43a	SHI-0609
44a	SHI-0610
45a	SHI-0611
46a	SHI-0612
47a	SHI-0613
48a	SHI-0614
49a	SHI-0615
50a	SHI-0616
51a	SHI-0617
52a	SHI-0618
54a	SHI-0619
55a	SHI-0620
56a	SHI-0621
57a	SHI-0622
58a	SHI-0623
63a	SHI-0624
72a	SHI-0625
73a	SHI-0626
74a	SHI-0627
75a	SHI-0628
76a	SHI-0629
77a	SHI-0630
ARSI1.40.1	SHI-0638
ARSI4.240.1	SHI-0639
ARSII4.240.1	SHI-0640
ARSII2.80.1	SHI-0641
ARSIV1.40.1	SHI-0642
ARSIV3.160.1	SHI-0643
ARSI2.80.1	SHI-0644
ARSII3.160.1	SHI-0645
